declarationDate,disasterName,stateCode,stateName,declarationRequestDate,Days Diff,Quarter
2024-01-07,"SEVERE STORMS, FLOODING, AND TORNADOES",RI,Rhode Island,2023-11-09T00:00:00.000Z,58,1
2024-01-13,"SEVERE STORMS, FLOODING, AND A POTENTIAL DAM BREACH",CT,Connecticut,2024-01-12T00:00:00.000Z,1,1
2024-01-30,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",WV,West Virginia,2023-10-25T00:00:00.000Z,67,1
2024-01-30,SEVERE STORM AND FLOODING,NY,New York,2023-11-29T00:00:00.000Z,62,1
2024-01-30,SEVERE STORM AND FLOODING,ME,Maine,2024-01-16T00:00:00.000Z,14,1
2024-02-15,SEVERE WINTER STORM AND STRAIGHT-LINE WINDS,ND,North Dakota,2024-01-26T00:00:00.000Z,20,1
2024-02-19,SEVERE STORM AND FLOODING,CA,California,2024-02-07T00:00:00.000Z,12,1
2024-02-27,CATESBY FIRE,OK,Oklahoma,2024-02-27T00:00:00.000Z,0,1
2024-02-27,SMOKEHOUSE CREEK FIRE,TX,Texas,2024-02-27T00:00:00.000Z,0,1
2024-02-27T00:00:00.000Z,WINDY DEUCE FIRE,TX,Texas,2024-02-27T00:00:00.000Z,0,1
2024-02-27T00:00:00.000Z,SEVERE STORM AND FLOODING,NH,New Hampshire,2024-02-15T00:00:00.000Z,12,1
2024-03-01T00:00:00.000Z,HAPPY JACK FIRE,WY,Wyoming,2024-03-01T00:00:00.000Z,0,1
2024-03-02T00:00:00.000Z,SEVERE STORM AND FLOODING,VT,Vermont,2024-02-15T00:00:00.000Z,15,1
2024-03-15T00:00:00.000Z,"SEVERE STORM, LANDSLIDES, AND MUDSLIDES",AK,Alaska,2024-02-18T00:00:00.000Z,25,1
2024-03-20T00:00:00.000Z,SEVERE STORMS AND FLOODING,RI,Rhode Island,2024-03-06T00:00:00.000Z,14,1
2024-03-20T00:00:00.000Z,SEVERE STORM AND FLOODING,RI,Rhode Island,2024-03-07T00:00:00.000Z,13,1
2024-03-20T00:00:00.000Z,SEVERE STORMS AND FLOODING,ME,Maine,2024-02-23T00:00:00.000Z,25,1
2024-04-06T00:00:00.000Z,57 FIRE,OK,Oklahoma,2024-04-06T00:00:00.000Z,0,2
2024-04-06T00:00:00.000Z,"SEVERE STORM, FLOODING, AND LANDSLIDES",AK,Alaska,2024-01-04T00:00:00.000Z,92,2
2024-04-13T00:00:00.000Z,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, LANDSLIDES, AND MUDSLIDES",OR,Oregon,2024-03-12T00:00:00.000Z,32,2
2024-04-13T00:00:00.000Z,"SEVERE WINTER STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES",CA,California,2024-03-22T00:00:00.000Z,22,2
2024-04-19T00:00:00.000Z,SEVERE WINTER STORM,CA,California,2024-03-22T00:00:00.000Z,28,2
2024-04-19T00:00:00.000Z,SEVERE WINTER STORM,VT,Vermont,2024-03-06T00:00:00.000Z,44,2
2024-04-19T00:00:00.000Z,SEVERE STORMS AND FLOODING,CA,California,2024-03-01T00:00:00.000Z,49,2
2024-04-19T00:00:00.000Z,SEVERE STORMS AND FLOODING,NH,New Hampshire,2024-03-28T00:00:00.000Z,22,2
2024-04-28T00:00:00.000Z,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",WA,Washington,2024-03-22T00:00:00.000Z,37,2
2024-04-28T00:00:00.000Z,SEVERE WINTER STORM,KS,Kansas,2024-04-09T00:00:00.000Z,19,2
2024-04-30T00:00:00.000Z,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",OK,Oklahoma,2024-04-30T00:00:00.000Z,0,2
2024-05-02T00:00:00.000Z,TORNADOES,OH,Ohio,2024-03-29T00:00:00.000Z,34,2
2024-05-03T00:00:00.000Z,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES",NE,Nebraska,2024-05-01T00:00:00.000Z,2,2
2024-05-14T00:00:00.000Z,SEVERE STORMS AND TORNADOES,IA,Iowa,2024-05-02T00:00:00.000Z,12,2
2024-05-17T00:00:00.000Z,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",TX,Texas,2024-05-15T00:00:00.000Z,2,2
2024-05-22T00:00:00.000Z,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES",WV,West Virginia,2024-05-03T00:00:00.000Z,19,2
2024-05-22T00:00:00.000Z,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, LANDSLIDES, AND MUDSLIDES",KY,Kentucky,2024-04-30T00:00:00.000Z,22,2
2024-05-24T00:00:00.000Z,SEVERE WINTER STORM AND STRAIGHT-LINE WINDS,NE,Nebraska,2024-05-06T00:00:00.000Z,18,2
2024-05-24T00:00:00.000Z,SEVERE WINTER STORM,ME,Maine,2024-05-02T00:00:00.000Z,22,2
2024-05-24T00:00:00.000Z,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",WV,West Virginia,2024-05-09T00:00:00.000Z,15,2
2024-05-24T00:00:00.000Z,"SEVERE STORMS, TORNADOES, AND FLOODING",IA,Iowa,2024-05-23T00:00:00.000Z,1,2
2024-05-26T00:00:00.000Z,BLUE 2 FIRE,NM,New Mexico,2024-05-25T00:00:00.000Z,1,2
2024-05-29T00:00:00.000Z,SIMMONS FIRE,AZ,Arizona,2024-05-29T00:00:00.000Z,0,2
2024-05-30T00:00:00.000Z,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",AR,Arkansas,2024-05-29T00:00:00.000Z,1,2
2024-06-10T00:00:00.000Z,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",MS,Mississippi,2024-05-09T00:00:00.000Z,32,2
2024-06-10T00:00:00.000Z,"SEVERE STORM, FLOODING, LANDSLIDES, AND MUDSLIDES",ID,Idaho,2024-05-22T00:00:00.000Z,19,2
2024-06-11T00:00:00.000Z,TRAIL FIRE,NV,Nevada,2024-06-11T00:00:00.000Z,0,2
2024-06-12T00:00:00.000Z,SULLIVAN FIRE,NV,Nevada,2024-06-11T00:00:00.000Z,1,2
2024-06-12T00:00:00.000Z,ROSE FIRE,AZ,Arizona,2024-06-12T00:00:00.000Z,0,2
2024-06-14T00:00:00.000Z,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",OK,Oklahoma,2024-06-04T00:00:00.000Z,10,2
2024-06-17T00:00:00.000Z,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES",FL,Florida,2024-05-22T00:00:00.000Z,28,2
2024-06-17T00:00:00.000Z,"SEVERE STORMS, FLOODING, AND LANDSLIDES",HI,Hawaii,2024-05-31T00:00:00.000Z,18,2
2024-06-17T00:00:00.000Z,"SEVERE STORMS, TORNADOES, AND FLOODING",TN,Tennessee,2024-06-07T00:00:00.000Z,10,2
2024-06-17T00:00:00.000Z,SOUTH FORK FIRE,NM,New Mexico,2024-06-17T00:00:00.000Z,0,2
2024-06-18T00:00:00.000Z,SALT FIRE,NM,New Mexico,2024-06-17T00:00:00.000Z,1,2
2024-06-20T00:00:00.000Z,"SOUTH FORK FIRE, SALT FIRE, AND FLOODING",NM,New Mexico,2024-06-19T00:00:00.000Z,1,2
2024-06-23T00:00:00.000Z,SLIDE RANCH FIRE,WA,Washington,2024-06-22T00:00:00.000Z,1,2
